Data_Source,Symbol,Timeframe,Return_%,Buy_Hold_%,Max_DD_%,Sharpe,Sortino,Exposure_Time_%,Expectancy_%,Trades
BTC-15min,BTC,15m,0.0,160.14160999802712,-0.0,,,0.0,,0
BTC-1day,BTC,1d,0.0,126.19307261351398,-0.0,,,0.0,,0
BTC-1hour,BTC,1h,-61.908503519949754,2369.623859077961,-66.45188520170338,-1.0555321940102902,-1.3044391357861633,4.46261260636009,-0.48923010002102457,278
BTC-4hour,BTC,4h,0.02444370947652715,926.6464044174796,-5.442003756963043,0.0018516690905270978,0.0029591656728393,0.6190967537106119,-0.019306450727843705,10
ETH-15min,ETH,15m,-88.58586772834799,19.45157306012431,-89.84232322372618,-3.8906334881829734,-2.590190998188561,7.028535287771122,-0.4132224231881862,731
ETH-1day,ETH,1d,3.6700611494513216,54.90379499150375,-0.9097112790725226,1.182424741621289,3.3557855098704987,1.7142857142857144,12.952910592029514,1
ETH-1hour,ETH,1h,-89.24945298096328,1078.6931818181818,-91.7047350894698,-1.275848094461786,-1.5476986554903003,20.26428660660994,-0.36983558120124427,1706
ETH-4hour,ETH,4h,-40.73567876142036,1165.8705944239875,-55.21260471103538,-0.40236701448552925,-0.5048072191782121,36.65370267481546,-0.5986669266957649,596
SOL-15min,SOL,15m,-99.82212608759326,23.088831551787685,-99.8717288287956,-12.495197056424278,-2.8427335712314226,17.43368428885003,-0.5082386392755479,2121
SOL-1day,SOL,1d,-14.059371777451688,71.11769513690234,-23.97705508154878,-0.6222762334103046,-0.8076791740594896,38.42857142857143,-4.523877830546831,67
SOL-1hour,SOL,1h,-98.5599536077154,4467.618424282092,-98.62045781346947,-3.3899583058056346,-2.166365810671839,41.50992628672074,-0.7134724106021423,2301
