Data_Source,Symbol,Timeframe,Return_%,Buy_Hold_%,Max_DD_%,Sharpe,Sortino,Exposure_Time_%,Expectancy_%,Trades
BTC-15min,BTC,15m,0.0,155.4513229072376,-0.0,,,0.0,,0
BTC-1day,BTC,1d,0.0,147.3155089180296,-0.0,,,0.0,,0
BTC-1hour,BTC,1h,-26.16255100538549,2504.8565121412803,-51.34015574311892,-0.2760844305537824,-0.39930995003543945,9.458240217647793,-0.19144905962423486,268
BTC-4hour,BTC,4h,3.122961493395378,980.2914956035595,-11.792121385703636,0.10248866242087527,0.2034738638056267,1.3651877133105803,0.40759662792848994,12
ETH-15min,ETH,15m,-76.01136935351946,18.54869187718336,-79.0830585452519,-1.761650128898832,-1.731435891641837,15.775884519513376,-0.2311336045995343,784
ETH-1day,ETH,1d,4.697597645786682,54.07275257041155,-6.0987347439977135,0.47174396981087063,0.7627795145058295,12.714285714285714,1.901792946805372,5
ETH-1hour,ETH,1h,-49.46188366878651,1130.9893257852198,-75.89034881904895,-0.31023866400743166,-0.47829892727014695,44.73578279638549,-0.15839609872555324,1477
ETH-4hour,ETH,4h,-3.8319931906784586,1219.019951764964,-28.392959847098464,-0.04457878305155867,-0.06874649728765939,44.88451464401937,-0.07565936184490689,300
SOL-15min,SOL,15m,-98.8147905840545,24.88406881077039,-98.86511562858998,-7.014702865216397,-2.7989534255408652,20.475464116968638,-0.5646609898659487,1158
SOL-1day,SOL,1d,-12.651767444827819,65.1775147928994,-12.651767444827822,-1.9719037302004656,-2.317964007523498,27.714285714285715,-12.383261903340866,13
SOL-1hour,SOL,1h,-50.57657017917452,4006.65685913939,-58.842151469898376,-0.5560279995208564,-0.751211437821116,49.39442040487943,-0.4141427759366735,972
SOL-4hour,SOL,4h,15.904495988411563,5464.451827242526,-18.77352154597891,0.2071752388322402,0.340643406595555,49.23063548639485,-0.02403142457575823,298
