timestamp,symbol,score,classification,rsi,rvol,price_change_2w,vs_btc,persistence
2025-11-16T01:39:40.601122,LAUSDT,85,STRONG,62.6,3.76,33.33,46.04,SPIKE
2025-11-16T01:39:40.601732,LTCUSDT,85,STRONG,70.5,1.6,6.83,19.54,ESTABLISHED
2025-11-16T01:39:40.601777,TRBUSDT,75,STRONG,74.9,2.93,2.86,15.57,EMERGING
2025-11-16T01:39:40.601800,DASHUSDT,70,MODERATE,58.2,1.79,14.1,26.81,SPIKE
2025-11-16T01:39:40.601816,UNIUSDT,70,MODERATE,64.3,0.96,26.37,39.08,EMERGING
2025-11-16T01:39:40.601826,FETUSDT,60,MODERATE,78.8,0.6,19.17,31.88,SPIKE
2025-11-16T01:39:40.601837,FILUSDT,60,MODERATE,60.1,0.91,25.12,37.83,SPIKE
2025-11-16T01:39:40.601847,LSKUSDT,60,MODERATE,33.3,2.73,30.77,43.48,ESTABLISHED
2025-11-16T01:39:40.601862,NEARUSDT,60,MODERATE,61.7,1.02,15.09,27.8,SPIKE
2025-11-16T01:39:40.601883,ASTERUSDT,55,WEAK,56.3,0.76,15.35,28.06,SPIKE
2025-11-16T01:39:40.601901,USD1USDT,55,WEAK,69.2,5.06,0.04,12.75,EMERGING
2025-11-16T01:39:40.601930,ZECUSDT,55,WEAK,58.5,1.4,62.53,75.24,SPIKE
2025-11-16T01:39:40.601945,FFUSDT,45,WEAK,55.8,0.66,8.23,20.94,SPIKE
2025-11-16T01:39:40.601957,ZENUSDT,45,WEAK,50.9,1.64,-26.53,-13.82,SPIKE
2025-11-16T01:53:04.499787,LAUSDT,85,STRONG,61.2,3.78,31.73,44.45,SPIKE
2025-11-16T01:53:04.499851,LTCUSDT,85,STRONG,71.0,1.61,6.95,19.67,ESTABLISHED
2025-11-16T01:53:04.499867,TRBUSDT,75,STRONG,76.0,3.01,3.75,16.47,EMERGING
2025-11-16T01:53:04.499880,DASHUSDT,70,MODERATE,54.0,1.83,10.47,23.19,SPIKE
2025-11-16T01:53:04.499891,UNIUSDT,70,MODERATE,63.9,0.97,26.27,38.99,EMERGING
2025-11-16T01:53:04.499903,FETUSDT,60,MODERATE,81.0,0.62,19.72,32.44,SPIKE
2025-11-16T01:53:04.499915,FILUSDT,60,MODERATE,62.2,0.92,26.01,38.73,SPIKE
2025-11-16T01:53:04.499926,LSKUSDT,60,MODERATE,33.3,2.74,30.77,43.49,ESTABLISHED
2025-11-16T01:53:04.499938,NEARUSDT,60,MODERATE,63.8,1.03,15.73,28.45,SPIKE
2025-11-16T01:53:04.499950,USD1USDT,55,WEAK,75.0,5.07,0.05,12.77,EMERGING
2025-11-16T01:53:04.499967,ZECUSDT,55,WEAK,56.6,1.42,60.91,73.63,SPIKE
2025-11-16T01:53:04.499981,ASTERUSDT,45,WEAK,54.8,0.77,14.94,27.66,SPIKE
2025-11-16T01:53:04.500000,FFUSDT,45,WEAK,53.4,0.66,7.64,20.36,SPIKE
2025-11-16T02:17:33.677827,LAUSDT,85,STRONG,60.6,3.82,30.37,43.22,SPIKE
2025-11-16T02:17:33.677859,LTCUSDT,85,STRONG,62.2,1.55,6.09,18.94,ESTABLISHED
2025-11-16T02:17:33.677875,TRBUSDT,75,STRONG,70.3,2.86,3.45,16.3,EMERGING
2025-11-16T02:17:33.677887,UNIUSDT,65,MODERATE,58.0,0.92,25.84,38.69,EMERGING
2025-11-16T02:17:33.677899,DASHUSDT,60,MODERATE,41.6,1.69,16.71,29.56,SPIKE
2025-11-16T02:17:33.677911,FETUSDT,60,MODERATE,76.0,0.59,17.32,30.17,SPIKE
2025-11-16T02:17:33.677928,NEARUSDT,60,MODERATE,63.2,0.98,16.3,29.15,SPIKE
2025-11-16T02:17:33.677939,FILUSDT,55,WEAK,58.9,0.88,25.37,38.22,SPIKE
2025-11-16T02:17:33.677949,LSKUSDT,55,WEAK,32.0,2.55,30.14,42.99,ESTABLISHED
2025-11-16T02:17:33.677961,USD1USDT,55,WEAK,75.0,4.89,0.04,12.89,EMERGING
2025-11-16T02:17:33.677971,ZECUSDT,55,WEAK,56.1,1.35,64.31,77.16,SPIKE
2025-11-16T02:17:33.677984,STRKUSDT,45,WEAK,40.7,2.58,55.8,68.65,EMERGING
2025-11-16T03:02:48.776077,STRKUSDT,90,STRONG,55.1,2.43,65.6,78.22,EMERGING
2025-11-16T03:02:48.776116,LAUSDT,85,STRONG,61.8,3.97,37.83,50.45,SPIKE
2025-11-16T03:02:48.776130,TRBUSDT,75,STRONG,67.7,2.82,3.3,15.92,EMERGING
2025-11-16T03:02:48.776140,FILUSDT,55,WEAK,57.6,0.86,25.0,37.62,SPIKE
2025-11-16T03:02:48.776150,NEARUSDT,55,WEAK,54.8,0.96,15.21,27.83,SPIKE
2025-11-16T03:02:48.776160,UNIUSDT,55,WEAK,56.8,0.92,27.41,40.03,SPIKE
2025-11-16T03:02:48.776169,USD1USDT,55,WEAK,76.9,4.3,0.05,12.67,EMERGING
2025-11-16T03:02:48.776178,ZECUSDT,55,WEAK,51.1,1.29,58.89,71.51,SPIKE
2025-11-16T03:02:48.776188,DASHUSDT,50,WEAK,37.8,1.67,11.63,24.25,SPIKE
2025-11-16T03:02:48.776197,FETUSDT,50,WEAK,65.1,0.59,12.81,25.43,SPIKE
2025-11-16T03:02:48.776206,LTCUSDT,50,WEAK,45.8,1.53,5.08,17.7,EMERGING
2025-11-16T03:41:56.538282,STRKUSDT,90,STRONG,53.3,2.54,63.73,76.66,EMERGING
2025-11-16T03:41:56.538335,LAUSDT,85,STRONG,60.2,4.08,35.5,48.43,SPIKE
2025-11-16T03:41:56.538358,TRBUSDT,75,STRONG,64.3,3.16,1.74,14.67,EMERGING
2025-11-16T03:41:56.538376,FILUSDT,55,WEAK,55.6,0.9,24.11,37.04,SPIKE
2025-11-16T03:41:56.538394,UNIUSDT,55,WEAK,54.7,0.94,26.85,39.78,SPIKE
2025-11-16T03:41:56.538410,USD1USDT,55,WEAK,78.6,4.3,0.06,12.99,EMERGING
2025-11-16T03:41:56.538427,DASHUSDT,50,WEAK,39.3,1.69,12.35,25.28,SPIKE
2025-11-16T03:41:56.538443,LTCUSDT,50,WEAK,42.6,1.55,4.22,17.15,EMERGING
2025-11-16T03:41:56.538459,FETUSDT,45,WEAK,57.5,0.61,10.78,23.71,SPIKE
2025-11-16T03:41:56.538475,NEARUSDT,45,WEAK,51.4,0.98,14.0,26.93,SPIKE
2025-11-16T07:52:16.165346,STRKUSDT,100,STRONG,67.7,2.97,74.49,87.69,ESTABLISHED
2025-11-16T07:52:16.165504,LAUSDT,85,STRONG,67.6,4.21,36.65,49.85,SPIKE
2025-11-16T07:52:16.165518,TRBUSDT,75,STRONG,61.0,3.75,1.77,14.97,EMERGING
2025-11-16T07:52:16.165528,PENDLEUSDT,60,MODERATE,70.1,1.96,-24.02,-10.82,EMERGING
2025-11-16T07:52:16.165539,USD1USDT,55,WEAK,71.4,3.73,0.06,13.26,EMERGING
2025-11-16T15:09:14.558629,STRKUSDT,100,STRONG,71.0,3.13,93.83,107.17,ESTABLISHED
2025-11-16T15:09:14.558673,DCRUSDT,85,STRONG,60.2,1.66,109.29,122.63,SPIKE
2025-11-16T15:09:14.558691,LAUSDT,85,STRONG,63.1,4.15,47.22,60.56,SPIKE
2025-11-16T15:09:14.558705,DASHUSDT,70,MODERATE,65.5,1.54,23.34,36.68,EMERGING
2025-11-16T15:09:14.558719,0GUSDT,60,MODERATE,66.1,1.07,29.55,42.89,SPIKE
2025-11-16T15:09:14.558732,ASTERUSDT,60,MODERATE,65.5,0.54,20.81,34.15,SPIKE
2025-11-16T15:09:14.558745,ICPUSDT,55,WEAK,55.6,0.75,46.04,59.38,SPIKE
2025-11-16T15:09:14.558757,UNIUSDT,55,WEAK,51.0,0.67,25.88,39.22,SPIKE
2025-11-16T15:09:14.558770,USD1USDT,50,WEAK,66.7,1.61,0.05,13.39,EMERGING
2025-11-16T15:19:17.456410,STRKUSDT,100,STRONG,70.5,3.16,92.99,106.22,ESTABLISHED
2025-11-16T15:19:17.456447,DASHUSDT,95,STRONG,67.3,1.55,25.63,38.86,EMERGING
2025-11-16T15:19:17.456459,DCRUSDT,85,STRONG,63.3,1.68,115.52,128.75,SPIKE
2025-11-16T15:19:17.456469,LAUSDT,85,STRONG,61.3,4.16,45.28,58.51,SPIKE
2025-11-16T15:19:17.456479,0GUSDT,60,MODERATE,64.8,1.08,28.25,41.48,SPIKE
2025-11-16T15:19:17.456488,ASTERUSDT,60,MODERATE,67.3,0.54,21.12,34.35,SPIKE
2025-11-16T15:19:17.456497,ICPUSDT,55,WEAK,58.8,0.75,47.63,60.86,SPIKE
2025-11-16T15:19:17.456506,UNIUSDT,55,WEAK,53.3,0.67,26.44,39.67,SPIKE
2025-11-16T15:19:17.456516,USD1USDT,50,WEAK,66.7,1.62,0.05,13.28,EMERGING
2025-11-16T15:31:11.121213,STRKUSDT,100,STRONG,68.6,3.18,89.53,102.8,ESTABLISHED
2025-11-16T15:31:11.121253,DCRUSDT,85,STRONG,60.8,1.69,110.08,123.35,SPIKE
2025-11-16T15:31:11.121269,LAUSDT,85,STRONG,62.3,4.17,46.29,59.56,SPIKE
2025-11-16T15:31:11.121282,DASHUSDT,70,MODERATE,66.4,1.55,24.39,37.66,EMERGING
2025-11-16T15:31:11.121294,0GUSDT,60,MODERATE,64.2,1.09,27.97,41.24,SPIKE
2025-11-16T15:31:11.121307,ASTERUSDT,60,MODERATE,66.1,0.55,20.92,34.19,SPIKE
2025-11-16T15:31:11.121320,ICPUSDT,55,WEAK,56.2,0.76,46.31,59.58,SPIKE
2025-11-16T15:31:11.121333,UNIUSDT,55,WEAK,50.2,0.67,25.68,38.95,SPIKE
2025-11-16T15:31:11.121346,USD1USDT,50,WEAK,66.7,1.62,0.05,13.32,EMERGING
2025-11-16T15:43:01.105503,STRKUSDT,100,STRONG,70.1,3.2,92.31,105.7,ESTABLISHED
2025-11-16T15:43:01.105540,LAUSDT,85,STRONG,62.1,4.19,46.13,59.52,SPIKE
2025-11-16T15:43:01.105552,DCRUSDT,80,STRONG,59.8,1.7,108.55,121.94,SPIKE
2025-11-16T15:43:01.105562,DASHUSDT,70,MODERATE,62.9,1.57,21.34,34.73,EMERGING
2025-11-16T15:43:01.105572,0GUSDT,60,MODERATE,67.3,1.11,30.76,44.15,SPIKE
