timestamp,long_size,short_size,total_size,btc_price
2025-11-11 13:54:10.487216,0.0,0.0,15402521505.811298,106548.4
2025-11-11 14:04:14.759551,0.0,0.0,15407545037.576391,106622.6
2025-11-11 14:14:20.573939,0.0,0.0,15420854302.921022,106818.8
2025-11-11 14:24:25.472615,0.0,0.0,15455819827.446161,106930.7
2025-11-11 14:34:30.779269,18049221.603040695,18049221.603040695,15419721384.24008,106769.9
2025-11-11 14:44:37.247542,33490537.951524734,33490537.951524734,15352740308.33703,106371.5
2025-11-11 14:54:41.693814,2088449.8660650253,2088449.8660650253,15348563408.6049,106448.5
2025-11-11 15:04:50.991647,3556496.161371231,3556496.161371231,15341450416.282158,106417.4
2025-11-11 15:14:57.930995,47689920.46930885,47689920.46930885,15246070575.34354,106114.3
2025-11-11 15:25:02.423080,6929764.850746155,6929764.850746155,15232211045.642048,106072.5
