timestamp,symbol,consecutive_cycles_top15,consecutive_cycles_high_rvol,classification,fade_risk_pct
1763038584.5772674,TRUMP,7,0,ESTABLISHED,35
1763038584.5772674,AERO,7,0,ESTABLISHED,35
1763038584.5772674,MET,7,0,ESTABLISHED,35
1763038584.5772674,DOGE,7,0,ESTABLISHED,35
1763038584.5772674,SUI,1,0,SPIKE,70
1763039677.9576774,HYPE,8,0,ESTABLISHED,35
1763039677.9576774,ZEC,8,0,ESTABLISHED,35
1763039677.9576774,XRP,8,0,ESTABLISHED,35
1763039677.9576774,POPCAT,8,0,ESTABLISHED,35
1763039677.9576774,PUMP,8,0,ESTABLISHED,35
1763039677.9576774,UNI,8,0,ESTABLISHED,35
1763039677.9576774,ASTER,8,0,ESTABLISHED,35
1763039677.9576774,XPL,8,0,ESTABLISHED,35
1763039677.9576774,LTC,8,0,ESTABLISHED,35
1763039677.9576774,FARTCOIN,8,0,ESTABLISHED,35
1763039677.9576774,TRUMP,8,0,ESTABLISHED,35
1763039677.9576774,AERO,8,0,ESTABLISHED,35
1763039677.9576774,MET,8,0,ESTABLISHED,35
1763039677.9576774,SUI,2,0,EMERGING,50
1763039677.9576774,DOGE,8,0,ESTABLISHED,35
1763211112.376359,ZEC,9,0,ESTABLISHED,35
1763211112.376359,HYPE,9,0,ESTABLISHED,35
1763211112.376359,XRP,9,0,ESTABLISHED,35
1763211112.376359,ASTER,9,0,ESTABLISHED,35
1763211112.376359,PUMP,9,0,ESTABLISHED,35
1763211112.376359,LTC,9,0,ESTABLISHED,35
1763211112.376359,STRK,1,0,SPIKE,70
1763211112.376359,FARTCOIN,9,0,ESTABLISHED,35
1763211112.376359,NEAR,1,0,SPIKE,70
1763211112.376359,UNI,9,0,ESTABLISHED,35
1763211112.376359,SUI,3,0,EMERGING,50
1763211112.376359,DOGE,9,0,ESTABLISHED,35
1763211112.376359,XPL,9,0,ESTABLISHED,35
1763211112.376359,ENA,1,0,SPIKE,70
1763211112.376359,LINK,7,0,ESTABLISHED,35
