Strategy Name,Iteration,Thread ID,Return %,Buy & Hold %,Max Drawdown %,Sharpe Ratio,Sortino Ratio,Expectancy %,File Path,Timestamp
DonchianAscent,10,T04,3.036293,127.7687,-9.530396,0.282947,0.639397,0.068503,/Users/md/Dropbox/dev/github/moon-dev-ai-agents-for-trading/src/data/rbi_pp/10_25_2025/backtests_working/T04_DonchianAscent_OPT_v10_3.0pct.py,2025-10-25 06:12:42
MomentumSqueeze,7,T08,1.059768,127.7687,-1.133867,1.47821,,1.413872,/Users/md/Dropbox/dev/github/moon-dev-ai-agents-for-trading/src/data/rbi_pp/10_25_2025/backtests_working/T08_MomentumSqueeze_OPT_v7_1.1pct.py,2025-10-25 06:22:57
